bench,latency,status,cycles,insts,cpi,stall_if,stall_id,stall_ex,stall_mem,luse,br_wait,branches,taken,jumps,loads,stores
alu,1,PASS,103,51,2.01,51,0,0,0,0,0,0,0,1,0,0
fib,1,PASS,211,86,2.45,105,0,0,1,0,19,20,19,1,0,1
sumn,1,PASS,331,134,2.47,133,0,0,33,0,31,32,31,1,32,1
memcpy,1,PASS,389,131,2.96,162,0,0,64,0,31,32,31,1,32,32
branchy,1,PASS,411,150,2.74,181,0,0,33,0,47,64,47,1,32,1
sum,1,PASS,51,22,2.31,21,0,0,5,0,3,4,3,1,4,1
alu,2,PASS,154,51,3.01,102,0,0,0,0,0,0,0,1,0,0
fib,2,PASS,300,86,3.48,192,0,0,2,0,19,20,19,1,0,1
sumn,2,PASS,564,134,4.20,332,0,0,66,0,31,32,31,1,32,1
memcpy,2,PASS,648,131,4.94,357,0,0,128,0,31,32,31,1,32,32
branchy,2,PASS,644,150,4.29,380,0,0,66,0,47,64,47,1,32,1
sum,2,PASS,88,22,4.00,52,0,0,10,0,3,4,3,1,4,1
alu,4,PASS,256,51,5.01,204,0,0,0,0,0,0,0,1,0,0
fib,4,PASS,474,86,5.51,364,0,0,4,0,19,20,19,1,0,1
sumn,4,PASS,898,134,6.70,600,0,0,132,0,31,32,31,1,32,1
memcpy,4,PASS,1038,131,7.92,619,0,0,256,0,31,32,31,1,32,32
branchy,4,PASS,1010,150,6.73,680,0,0,132,0,47,64,47,1,32,1
sum,4,PASS,142,22,6.45,96,0,0,20,0,3,4,3,1,4,1
